constituency_type,contituency_name,candidate_name,Party Category,party_name,postal_votes,state_name,units,electioon_year,EVM_votes,rank,total_votes
General,Ahmedabad East,BRIJESH SHARMA,Other,Independent,12,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,4514,5,4526
General,Ahmedabad East,CHAUHAN MOHAMADFARUK AHEMADHASANBHAI,Other,Independent,7,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,771,17,778
General,Ahmedabad East,DASHARATHBHAI KANTILAL PANCHAL,Other,Independent,6,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1474,11,1480
General,Ahmedabad East,DHANANJAY GIRJASHANKAR RAJPUT,Other,Bhartiya Jan Parishad,37,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1083,15,1120
General,Ahmedabad East,HARSHAD BABUBHAI NANDOLIYA,Other,Independent,17,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,3554,6,3571
General,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),BJP,Bharatiya Janata Party,7431,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,763028,1,770459
General,Ahmedabad East,HIMMATSINH PRAHLADSINH PATEL,INC,Indian National Congress,4991,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,303713,2,308704
General,Ahmedabad East,HITENDRABHAI PATEL,Other,Aadi Bharat Party,20,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,722,18,742
General,Ahmedabad East,INGOLE ROOPESHBHAI BABUBHAI,Other,Independent,16,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1153,14,1169
General,Ahmedabad East,KALPESHBHAI SHETE,Other,Gunj Satya Ni Janata Party,10,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,2927,8,2937
General,Ahmedabad East,MAHESHKUMAR SOMABHAI THAKOR,Other,Independent,28,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,3005,7,3033
General,Ahmedabad East,MAKWANA JAYANTIBHAI KANJIBHAI,Other,Bahujan Samaj Party,247,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,10235,4,10482
General,Ahmedabad East,MANISH KUMAR DUBEY,Other,Swaraj Kranti Party,11,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,898,16,909
General,Ahmedabad East,NOTA,Other,None of the Above,592,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,9911,3,10503
General,Ahmedabad East,PATANI VISHNUBHAI NATAVARBHAI,Other,Independent,43,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,2377,9,2420
General,Ahmedabad East,PIYUSHBHAI BHAVSAR,Other,Youth India Peace Party,7,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,642,19,649
General,Ahmedabad East,PRAMOD SAHDEVBHAI GUDADE,Other,Swatantrata Abhivyakti Party,4,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1275,12,1279
General,Ahmedabad East,RAJESH HARIRAM MAURYA,Other,Prajatantra Aadhar Party,13,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1199,13,1212
General,Ahmedabad East,ZALA SANJAYKUMAR MAHOBATSINH,Other,Independent,56,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,2310,10,2366
General,Ahmednagar,AARTI KISHORKUMAR HALDAR,Other,Prabuddha Republican Party,9,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,3790,9,3799
General,Ahmednagar,ADV. JAMIR SHAIKH,Other,Independent,1,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,3934,8,3935
General,Ahmednagar,ADV. MAHENDRA DADASAHEB SHINDE,Other,Independent,1,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,674,24,675
General,Ahmednagar,ADV. SHIVAJIRAO WAMAN DAMALE (EX. SGT OF IAF),Other,Sainik Samaj Party,11,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1093,19,1104
General,Ahmednagar,ALEKAR GORAKH DASHRATH,Other,Independent,15,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,44582,3,44597
General,Ahmednagar,AMOL VILAS PACHUNDKAR,Other,Independent,2,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,5491,5,5493
General,Ahmednagar,BHAGWAT DHONDIBA GAIKWAD,Other,Samata Party,3,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,4941,6,4944
General,Ahmednagar,BILAL GAFUR SHAIKH,Other,Independent,'-,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,531,25,531
General,Ahmednagar,DATTATRAY APPA WAGHMODE,Other,Rashtriya Jankranti Party,5,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,868,21,873
General,Ahmednagar,DEELIP KONDIBA KHEDKAR,Other,Vanchit Bahujan Aaghadi,60,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,13689,4,13749
General,Ahmednagar,DR. KAILASH NIVRUTTI JADHAV,Other,Maharashtra Vikas Aghadi,10,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1425,17,1435
General,Ahmednagar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Bharatiya Janata Party,2300,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,593568,2,595868
General,Ahmednagar,GANGADHAR HARIBHAU KOLEKAR,Other,Independent,'-,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1059,20,1059
General,Ahmednagar,GAVADE MACCHINDRA RADHAKISAN,Other,Independent,1,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1940,14,1941
General,Ahmednagar,KALIRAM BAHIRU POPALGHAT,Other,Bhartiya Navjawan Sena (Paksha),6,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1975,13,1981
General,Ahmednagar,KOTHARI RAVINDRA LILACHAND,Other,Rashtriya Janmanch (Secular),3,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1330,18,1333
General,Ahmednagar,MADAN KANIFNATH SONVANE,Other,Right to Recall Party,6,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1445,16,1451
General,Ahmednagar,NAVSHAD MUNSILAL SHAIKH,Other,Independent,'-,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,2226,11,2226
General,Ahmednagar,NILESH DNYANDEV LANKE,Other,Nationalist Congress Party – Sharadchandra Pawar,2653,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,622144,1,624797
General,Ahmednagar,NOTA,Other,None of the Above,28,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,3254,10,3282
General,Ahmednagar,PRAVIN SUBHASH DALVI,Other,Independent,2,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1896,15,1898
General,Ahmednagar,RAOSAHEB SHANKAR KALE,Other,Independent,2,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,370,26,372
General,Ahmednagar,SHEKATKAR ANIL GANPAT,Other,Independent,'-,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,702,23,702
General,Ahmednagar,SURYABHAN (ALIAS SURESH) DATTATRAYA LAMBE,Other,Independent,'-,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,2092,12,2092
General,Ahmednagar,UMASHANKAR SHYAMBABU YADAV,Other,Bahujan Samaj Party,30,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,4509,7,4539
General,Ahmednagar,WABLE BHAUSAHEB BAPURAO,Other,Bharatheeya Jawan Kisan Party,11,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,790,22,801
General,Ajmer,BHAGIRATH CHOUDHARY,BJP,Bharatiya Janata Party,6311,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,741151,1,747462
General,Ajmer,BHAWARLAL SONI,Other,Independent,70,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,868,13,938
General,Ajmer,DAYA MOHAN GARG,Other,Independent,2,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,644,15,646
General,Ajmer,JITENDRA BOYAT,Other,Aazad Samaj Party (Kanshi Ram),25,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,2608,7,2633
General,Ajmer,MUKESH GENA,Other,Bharatiya Yuva Jan Ekta Party,9,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,3187,6,3196
General,Ajmer,NOTA,Other,None of the Above,112,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,11290,3,11402
General,Ajmer,PREM LATA,Other,Independent,167,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,988,11,1155
General,Ajmer,RAMCHANDRA CHOUDHARY,INC,Indian National Congress,3786,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,413685,2,417471
General,Ajmer,RAMDEV,Other,Bahujan Samaj Party,48,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,4896,4,4944
General,Ajmer,RAMLAL,Other,Akhil Bhartiya Aamjan Party,11,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,807,14,818
General,Ajmer,SATYANARAYAN MALI,Other,Independent,11,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,2409,8,2420
General,Ajmer,SHABUDADIN,Other,National Future Party,7,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,1190,10,1197
General,Ajmer,SURENDRA SINGH RANAVAT,Other,Independent,25,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,4348,5,4373
General,Ajmer,VISHRAM BABU,Other,Independent,7,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,1517,9,1524
General,Ajmer,YUSUF,Other,Independent,12,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,988,12,1000
General,Akbarpur,ASHOK PASWAN ADVOCATE,Other,Sabhi Jan Party,13,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3160,6,3173
General,Akbarpur,CHANDRESH SINGH,Other,Bhartiya Shakti Chetna Party,13,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2641,7,2654
General,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,Bharatiya Janata Party,3167,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,514256,1,517423
General,Akbarpur,NOTA,Other,None of the Above,126,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,7523,4,7649
General,Akbarpur,RAJARAM,Other,Independent,13,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4629,5,4642
General,Akbarpur,RAJARAM PAL,Other,Samajwadi Party,3312,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,469766,2,473078
General,Akbarpur,RAJESH KUMAR DWIVEDI,Other,Bahujan Samaj Party,461,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,72679,3,73140
General,Akbarpur,RAMGOPAL,Other,Rashtriya Janutthan Party,11,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1146,10,1157
General,Akbarpur,VIPIN KUMAR,Other,Rashtriya Sanskriti Party,5,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1489,9,1494
General,Akbarpur,YOGESH JAISWAL,Other,Independent,14,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2529,8,2543
General,Akola,AACHARYADIP SUBHASHCHANDRA GANOJE,Other,Independent,8,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1610,9,1618
General,Akola,ABHAY KASHINATH PATIL,INC,Indian National Congress,1847,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,414557,2,416404
General,Akola,ADHAU RAVIKANT RAMKRUSHNA,Other,Jay Vidarbha Party,24,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1710,8,1734
General,Akola,ADV NAJIB SHAIKH,Other,Indian National League,12,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,3288,5,3300
General,Akola,AMBEDKAR PRAKASH YASHWANT,Other,Vanchit Bahujan Aaghadi,1257,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,275490,3,276747
General,Akola,ANUP SANJAY DHOTRE,BJP,Bharatiya Janata Party,2058,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,454972,1,457030
General,Akola,ASHOK KISANRAO THORAT,Other,Independent,8,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,573,13,581
General,Akola,BABAN MAHADEV SAYAM,Other,Janseva Gondwana Party,2,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,535,15,537
General,Akola,DHARMENDRA CHANDRAPRAKASH KOTHARI,Other,Independent,4,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1236,11,1240
General,Akola,DILIP SHATRUGHAN MHAISANE,Other,Independent,2,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,860,12,862
General,Akola,KASHINATH VISHWANATH DHAMODE,Other,Bahujan Samaj Party,23,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,2737,6,2760
General,Akola,MOHMMAD AJAZ MOHMMAD TAHER,Other,Azad Adhikar Sena,4,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,564,14,568
General,Akola,MURLIDHAR LALSING PAWAR,Other,Independent,8,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,2058,7,2066
General,Akola,NOTA,Other,None of the Above,31,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,5752,4,5783
General,Akola,PRITI PRAMOD SADANSHIV,Other,Republican Party of India (Social),8,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,528,16,536
General,Akola,UJWALA VINAYAK RAUT,Other,Independent,8,Maharashtra,"EVM_votes, postal_votes, total_votes in absolute number",2024,1298,10,1306
General,Alappuzha,A. M ARIFF,Other,Communist Party of India (Marxist),5451,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,335596,2,341047
General,Alappuzha,ADV.K.M SHAJAHAN,Other,Independent,55,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,627,7,682
General,Alappuzha,ARJUNAN,Other,Socialist Unity Centre Of India (COMMUNIST),18,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,1301,6,1319
General,Alappuzha,JAYAKRISHNAN P,Other,Independent,56,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,329,11,385
General,Alappuzha,JYOTHI ABRAHAM,Other,Independent,10,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,328,12,338
General,Alappuzha,K. C VENUGOPAL,INC,Indian National Congress,6314,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,398246,1,404560
General,Alappuzha,MURALEEDHARAN KONCHERILLAM,Other,Bahujan Samaj Party,48,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,1578,5,1626
General,Alappuzha,NOTA,Other,None of the Above,113,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,7252,4,7365
General,Alappuzha,SATHEESH SHENOI,Other,Independent,9,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,473,10,482
General,Alappuzha,SHAJAHAN V.A. S/O ABDUL AZEES,Other,Independent,23,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,553,9,576
General,Alappuzha,SOBHA SURENDRAN,BJP,Bharatiya Janata Party,3807,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,295841,3,299648
General,Alappuzha,VAYALAR RAJEEVAN,Other,Bahujan Dravida Party,1,Kerala,"EVM_votes, postal_votes, total_votes in absolute number",2024,674,8,675
General,Aligarh,BIJENDRA SINGH,Other,Samajwadi Party,599,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,485588,2,486187
General,Aligarh,DILEEP SHARMA AD.,Other,Independent,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,952,12,955
General,Aligarh,GYANI RAM,Other,Independent,4,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3795,5,3799
General,Aligarh,HITENDRA KUMAR ALIAS BUNTY UPADHYAY,Other,Bahujan Samaj Party,159,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,123770,3,123929
General,Aligarh,KESHAV DEV ALIAS PANDIT KESHAV DEV GAUTAM,Other,Independent,11,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1308,9,1319
General,Aligarh,MAHESH CHANDRA SHARMA,Other,Independent,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,733,13,736
General,Aligarh,MANOJ KUMAR ALIAS MANOJ LODHI,Other,Saman Adhikar Party,6,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1434,8,1440
General,Aligarh,MANOJ KUMAR SHARMA ADVOCATE,Other,Loktantrik Janshakti Party,7,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,371,15,378
General,Aligarh,NOTA,Other,None of the Above,18,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4916,4,4934
General,Aligarh,RAJ KUMAR,Other,Rashtriya Shoshit Samaj Party,5,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,407,14,412
General,Aligarh,RAJESH KUMAR,Other,Independent,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1053,11,1056
General,Aligarh,SATISH KUMAR,Other,Independent,8,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3553,6,3561
General,Aligarh,SATISH KUMAR,Other,Swatantra Jantaraj Party,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1647,7,1648
General,Aligarh,SATISH KUMAR GAUTAM,BJP,Bharatiya Janata Party,1381,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,500453,1,501834
General,Aligarh,SURENDRA,Other,Moulik Adhikar Party,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1175,10,1178
General,Allahabad,AJEET KUMAR PATEL,Other,Pragatisheel Samaj Party,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2641,6,2642
General,Allahabad,ANUJ SWAROOP SHUKLA,Other,Independent,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1615,12,1616
General,Allahabad,AVANEESH KUMAR,Other,Independent,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1834,11,1835
General,Allahabad,GEETA RANI SHARMA,Other,Independent,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2197,8,2197
General,Allahabad,GOPAL SWROOP JOSHI,Other,Independent,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4248,5,4248
General,Allahabad,HANSHRAJ KOL,Other,Apna Dal (Kamerawadi),4,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2137,9,2141
General,Allahabad,MOOLNIWASI HEMRAJ SINGH,Other,Peoples Party of India (Democratic),5,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2350,7,2355
General,Allahabad,NEERAJ TRIPATHI,BJP,Bharatiya Janata Party,691,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,402659,2,403350
General,Allahabad,NOTA,Other,None of the Above,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,9949,4,9952
General,Allahabad,RAJDHAR SINGH PATEL,Other,Rashtriya Samaj Dal (R),1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1024,15,1025
General,Allahabad,RAJENDRA PRASAD PRAJAPATI,Other,Bhagidari Party(P),3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1844,10,1847
General,Allahabad,RAMESH KUMAR PATEL,Other,Bahujan Samaj Party,99,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,49045,3,49144
General,Allahabad,SARVAJEET SINGH,Other,Kamera Samaj Party,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1177,14,1177
General,Allahabad,SHIV PRASAD VISHWAKARMA,Other,Samyak Party,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1326,13,1326
General,Allahabad,UJJWAL RAMAN SINGH,INC,Indian National Congress,1045,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,461100,1,462145
General,Alwar,AMIT GUPTA,Other,Independent,23,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,1366,8,1389
General,Alwar,BHUPENDER YADAV,BJP,Bharatiya Janata Party,7882,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,624110,1,631992
General,Alwar,CHHAGAN LAL,Other,Independent,36,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,1291,9,1327
General,Alwar,FAZAL HUSSAIN,Other,Bahujan Samaj Party,109,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,19178,3,19287
General,Alwar,LALIT YADAV,INC,Indian National Congress,7746,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,575964,2,583710
General,Alwar,NOTA,Other,None of the Above,95,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,5727,4,5822
General,Alwar,PARDEEP KUMAR,Other,Sarv Samaj Party,23,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,4339,5,4362
General,Alwar,RAMBABU SHARMA,Other,Independent,25,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,2207,7,2232
General,Alwar,VISHVNATH KHINCHI,Other,Hindustan Janta Party,17,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,862,10,879
General,Alwar,VIVEK JAIN,Other,Independent,9,Rajasthan,"EVM_votes, postal_votes, total_votes in absolute number",2024,2429,6,2438
General,Ambedkar Nagar,JAVED AHMAD SIDDIQUI,Other,Independent,3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3857,7,3860
General,Ambedkar Nagar,LALJI VERMA,Other,Samajwadi Party,1238,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,543721,1,544959
General,Ambedkar Nagar,Neelam Singh,Other,Moolniwasi Samaj Party,10,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4321,5,4331
General,Ambedkar Nagar,NOTA,Other,None of the Above,19,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,7429,4,7448
General,Ambedkar Nagar,QAMAR HAYAT,Other,Bahujan Samaj Party,247,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,199252,3,199499
General,Ambedkar Nagar,RAM NARESH PRAJAPATI,Other,Bhagidari Party(P),3,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3410,8,3413
General,Ambedkar Nagar,RITESH PANDEY,BJP,Bharatiya Janata Party,861,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,406851,2,407712
General,Ambedkar Nagar,SHABANA KHATOON,Other,Peace Party,7,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,3983,6,3990
General,Ambedkar Nagar,VIVEK KUMAR,Other,Bhartiya Shakti Chetna Party,2,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1848,9,1850
General,Amethi,BHAGWANDIN PASI,Other,Moulik Adhikar Party,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2333,8,2334
General,Amethi,CHANDRAWATI,Other,Independent,13,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,2278,9,2291
General,Amethi,DINESH CHANDRA MAURYA,Other,Janshakti Samta Party,8,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4569,6,4577
General,Amethi,JAGDAMBA PRASAD YADAV,Other,Independent,1,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,4019,7,4020
General,Amethi,KHUSHIRAM,Other,Independent,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1401,11,1401
General,Amethi,KISHORI LAL,INC,Indian National Congress,2548,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,536680,1,539228
General,Amethi,MOHD HASAN LAHRI,Other,Rashtriya Narayanwadi Vikas Party,2,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1525,10,1527
General,Amethi,NANHE SINGH CHAUHAN,Other,Bahujan Samaj Party,116,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,34418,3,34534
General,Amethi,NOTA,Other,None of the Above,12,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,9371,4,9383
General,Amethi,SANTRAM,Other,Samajhdar Party,4,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1208,13,1212
General,Amethi,SHAILENDRA KUMAR MISHRA,Other,Sanyogwadi Party,4,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1124,14,1128
General,Amethi,SMRITI IRANI,BJP,Bharatiya Janata Party,1278,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,370754,2,372032
General,Amethi,SURENDRA KUMAR,Other,Independent,'-,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,5699,5,5699
General,Amethi,UDAYRAJ,Other,Independent,5,Uttar Pradesh,"EVM_votes, postal_votes, total_votes in absolute number",2024,1300,12,1305
General,Amreli,BAVKUBHAI AMARUBHAI VALA,Other,Independent,44,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,3733,6,3777
General,Amreli,BHARATBHAI MANUBHAI SUTARIYA,BJP,Bharatiya Janata Party,3052,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,577820,1,580872
General,Amreli,BHAVESHBHAI JENTIBHAI RANK,Other,Independent,8,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,3663,7,3671
General,Amreli,CHAUHAN RAVAJIBHAI MULABHAI,Other,Bahujan Samaj Party,57,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,7486,4,7543
General,Amreli,JENNY THUMMAR,INC,Indian National Congress,1573,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,258231,2,259804
General,Amreli,NOTA,Other,None of the Above,224,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,11125,3,11349
General,Amreli,PRITESH CHAUHAN (LALU),Other,Independent,21,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,1759,9,1780
General,Amreli,PUNJABHAI BAVBHAI DAFDA,Other,Independent,23,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,2598,8,2621
General,Amreli,SANKHAT VIKRAMBHAI VISABHAI,Other,Global Republican Party,51,Gujarat,"EVM_votes, postal_votes, total_votes in absolute number",2024,4958,5,5009
General,Amritsar,AMANPREET SINGH MAHADIPUR,Other,Independent,9,Punjab,"EVM_votes, postal_votes, total_votes in absolute number",2024,2353,11,2362
General,Amritsar,ANIL JOSHI,Other,Shiromani Akali Dal,210,Punjab,"EVM_votes, postal_votes, total_votes in absolute number",2024,162686,4,162896
